position	page_id	cell_ordinal	cell_id	damage_class	level	lighting	sequence	q	payload_id	lineage	profile	template	master_path	master_sha256	scheduled_slot_1	scheduled_slot_2	scheduled_slot_3
001	P1-c00-S01-q00-T0-Rs72_60-R	00	baseline-0-dim-S01	baseline	0	dim	S01	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c00-S01-q00-T0-Rs72_60-R-A01	P1-c00-S01-q00-T0-Rs72_60-R-A02	P1-c00-S01-q00-T0-Rs72_60-R-A03
002	P1-c00-S01-q01-T0-Rs76_60-T	00	baseline-0-dim-S01	baseline	0	dim	S01	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c00-S01-q01-T0-Rs76_60-T-A01	P1-c00-S01-q01-T0-Rs76_60-T-A02	P1-c00-S01-q01-T0-Rs76_60-T-A03
003	P1-c00-S01-q02-T0-Rs80_60-R	00	baseline-0-dim-S01	baseline	0	dim	S01	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c00-S01-q02-T0-Rs80_60-R-A01	P1-c00-S01-q02-T0-Rs80_60-R-A02	P1-c00-S01-q02-T0-Rs80_60-R-A03
004	P1-c00-S01-q09-T3-Rs72_60-T	00	baseline-0-dim-S01	baseline	0	dim	S01	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c00-S01-q09-T3-Rs72_60-T-A01	P1-c00-S01-q09-T3-Rs72_60-T-A02	P1-c00-S01-q09-T3-Rs72_60-T-A03
005	P1-c00-S01-q10-T3-Rs76_60-R	00	baseline-0-dim-S01	baseline	0	dim	S01	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c00-S01-q10-T3-Rs76_60-R-A01	P1-c00-S01-q10-T3-Rs76_60-R-A02	P1-c00-S01-q10-T3-Rs76_60-R-A03
006	P1-c00-S01-q11-T3-Rs80_60-T	00	baseline-0-dim-S01	baseline	0	dim	S01	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c00-S01-q11-T3-Rs80_60-T-A01	P1-c00-S01-q11-T3-Rs80_60-T-A02	P1-c00-S01-q11-T3-Rs80_60-T-A03
007	P1-c01-S02-q00-T0-Rs72_60-T	01	baseline-0-glare-S02	baseline	0	glare	S02	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c01-S02-q00-T0-Rs72_60-T-A01	P1-c01-S02-q00-T0-Rs72_60-T-A02	P1-c01-S02-q00-T0-Rs72_60-T-A03
008	P1-c01-S02-q01-T0-Rs76_60-R	01	baseline-0-glare-S02	baseline	0	glare	S02	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c01-S02-q01-T0-Rs76_60-R-A01	P1-c01-S02-q01-T0-Rs76_60-R-A02	P1-c01-S02-q01-T0-Rs76_60-R-A03
009	P1-c01-S02-q02-T0-Rs80_60-T	01	baseline-0-glare-S02	baseline	0	glare	S02	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c01-S02-q02-T0-Rs80_60-T-A01	P1-c01-S02-q02-T0-Rs80_60-T-A02	P1-c01-S02-q02-T0-Rs80_60-T-A03
010	P1-c01-S02-q09-T3-Rs72_60-R	01	baseline-0-glare-S02	baseline	0	glare	S02	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c01-S02-q09-T3-Rs72_60-R-A01	P1-c01-S02-q09-T3-Rs72_60-R-A02	P1-c01-S02-q09-T3-Rs72_60-R-A03
